system   D            wsystem.c:583  maybe_parent_dir                 [   0.03975] Also searching D:\Iza\projekt\SNK\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.05014] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.05028] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.12036] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:695  _al_d3d_init_display             [   0.32204] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.32222] Allegro version: 5.0.8
d3d      I         d3d_disp.cpp:1732 d3d_create_display_locked        [   0.32406] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1733 d3d_create_display_locked        [   0.32430] al_display=002153E0
d3d      D         d3d_disp.cpp:1734 d3d_create_display_locked        [   0.32434] al_display->vt=00215328
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.33144] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.33154] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33160] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33164] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33173] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33177] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33190] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33193] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33198] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33202] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33207] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33211] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33215] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33219] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33224] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33227] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33232] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33236] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33241] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33244] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33250] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33253] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33258] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33262] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33402] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33426] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33433] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33437] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33441] Score is : 897
